Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Shown on Collection Page (product.metafields.custom.shown_on_collection_page),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color Family (product.metafields.product.color_family),Style Family (product.metafields.product.style_name),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,generated_tags
winona-tote-merlot,Winona Tote,,Glad & Young Studio,Uncategorized,Bag,,False,Title,Fig,,,,,,,,WNT-FIG,0.0,shopify,continue,manual,0.0,,True,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,lb,,,draft,"[""leather-tote"", ""structured-silhouette"", ""everyday-carry""]"
winona-tote-brown,Winona Tote,,Glad & Young Studio,Uncategorized,Bag,,False,Title,Brown,,,,,,,,WNT-CAFE,0.0,shopify,continue,manual,0.0,,True,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,lb,,,draft,"[""leather-tote"", ""structured-silhouette"", ""everyday-carry""]"
winona-tote-black,Winona Tote,,Glad & Young Studio,Uncategorized,Bag,,False,Title,Black,,,,,,,,WNT-ONYX,0.0,shopify,continue,manual,0.0,,True,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,lb,,,draft,"[""leather-tote"", ""structured-silhouette"", ""everyday-carry""]"
wristlet-strap-happy-hour,Wristlet Strap,"<p><meta charset=""utf-8""><span>Add a pop of color </span><i data-stringify-type=""italic"">and</i><span> convenience with our leather wristlet strap. </span></p>
<p><span>Made from durable vegetable-tanned leather and finished with a solid brass clasp, our wristlet strap is designed to clip onto your favorite wallet, keys, or pouch for when you're on-the-go. Available in a rainbow of bright, happy hues, it's the perfect way to customize your carry.</span><span class=""c-message__edited_label"" dir=""ltr"" data-sk=""tooltip_parent""> </span></p>
<p><strong>Features &amp; Measurements:</strong></p>
<ul>
<li>Solid brass rivet and clasp</li>
<li>Beveled &amp; burnished for ultimate comfort</li>
<li>7.5 in, 8.5 in total with clasp</li>
</ul>",Glad & Young Studio,Apparel & Accessories > Handbag & Wallet Accessories,Keychain,Featured,False,Title,Happy Hour,,,,,,,,WRIST-HAPY,19.8446661875,shopify,continue,manual,22.0,,True,True,,,,,,,,,False,,,6552.0,,,,,,,,,,,,,,,,,,,,oz,,6.68,draft,"[""leather-wristlet-strap"", ""vegetable-tanned"", ""brass-clasp"", ""everyday-carry""]"
wristlet-strap-blue-lagoon,Wristlet Strap,"<p><meta charset=""utf-8""><span>Add a pop of color </span><i data-stringify-type=""italic"">and</i><span> convenience with our leather wristlet strap. </span></p>
<p><span>Made from durable vegetable-tanned leather and finished with a solid brass clasp, our wristlet strap is designed to clip onto your favorite wallet, keys, or pouch for when you're on-the-go. Available in a rainbow of bright, happy hues, it's the perfect way to customize your carry.</span><span class=""c-message__edited_label"" dir=""ltr"" data-sk=""tooltip_parent""> </span></p>
<p><strong>Features &amp; Measurements:</strong></p>
<ul>
<li>Solid brass rivet and clasp</li>
<li>Beveled &amp; burnished for ultimate comfort</li>
<li>7.5 in, 8.5 in total with clasp</li>
</ul>",Glad & Young Studio,Apparel & Accessories > Handbag & Wallet Accessories,Keychain,Featured,False,Title,Blue Lagoon,,,,,,,,WRIST-BLUL,19.8446661875,shopify,continue,manual,22.0,,True,True,,,,,,,,,False,,,6552.0,,,,,,,,,,,,,,,,,,,,oz,,6.68,draft,"[""leather-wristlet-strap"", ""vegetable-tanned"", ""brass-clasp"", ""everyday-carry""]"
wristlet-strap-cosmic-cake,Wristlet Strap,"<p><meta charset=""utf-8""><span>Add a pop of color </span><i data-stringify-type=""italic"">and</i><span> convenience with our leather wristlet strap. </span></p>
<p><span>Made from durable vegetable-tanned leather and finished with a solid brass clasp, our wristlet strap is designed to clip onto your favorite wallet, keys, or pouch for when you're on-the-go. Available in a rainbow of bright, happy hues, it's the perfect way to customize your carry.</span><span class=""c-message__edited_label"" dir=""ltr"" data-sk=""tooltip_parent""> </span></p>
<p><strong>Features &amp; Measurements:</strong></p>
<ul>
<li>Solid brass rivet and clasp</li>
<li>Beveled &amp; burnished for ultimate comfort</li>
<li>7.5 in, 8.5 in total with clasp</li>
</ul>",Glad & Young Studio,Apparel & Accessories > Handbag & Wallet Accessories,Keychain,Featured,False,Title,Cosmic Cake,,,,,,,,WRIST-COSM,19.8446661875,shopify,continue,manual,22.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/WristletStrap_MarbledColorful_CosmicCake.png?v=1772832991,1.0,,False,,,6552.0,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/WristletStrap_MarbledColorful_CosmicCake.png?v=1772832991,oz,,6.68,draft,"[""leather-wristlet-strap"", ""vegetable-tanned"", ""brass-clasp"", ""everyday-carry""]"
wristlet-strap-cosmic-cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/Wristlet_Straps_Misc_05d68382-1da3-4ad2-99b1-0052196f574f.png?v=1772832991,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""leather-wristlet-strap"", ""vegetable-tanned"", ""brass-clasp"", ""everyday-carry""]"
wristlet-strap-golden-girl,Wristlet Strap,"<p><meta charset=""utf-8""><span>Add a pop of color </span><i data-stringify-type=""italic"">and</i><span> convenience with our leather wristlet strap. </span></p>
<p><span>Made from durable vegetable-tanned leather and finished with a solid brass clasp, our wristlet strap is designed to clip onto your favorite wallet, keys, or pouch for when you're on-the-go. Available in a rainbow of bright, happy hues, it's the perfect way to customize your carry.</span><span class=""c-message__edited_label"" dir=""ltr"" data-sk=""tooltip_parent""> </span></p>
<p><strong>Features &amp; Measurements:</strong></p>
<ul>
<li>Solid brass rivet and clasp</li>
<li>Beveled &amp; burnished for ultimate comfort</li>
<li>7.5 in, 8.5 in total with clasp</li>
</ul>",Glad & Young Studio,Apparel & Accessories > Handbag & Wallet Accessories,Keychain,Featured,False,Title,Golden Girl,,,,,,,,WRIST-GOGI,19.8446661875,shopify,continue,manual,22.0,,True,True,,,,,,,,,False,,,6552.0,,,,,,,,,,,,,,,,,,,,oz,,6.68,draft,"[""leather-wristlet-strap"", ""vegetable-tanned"", ""brass-clasp"", ""everyday-carry""]"
wristlet-strap-olive-grove,Wristlet Strap,"<p><meta charset=""utf-8""><span>Add a pop of color </span><i data-stringify-type=""italic"">and</i><span> convenience with our leather wristlet strap. </span></p>
<p><span>Made from durable vegetable-tanned leather and finished with a solid brass clasp, our wristlet strap is designed to clip onto your favorite wallet, keys, or pouch for when you're on-the-go. Available in a rainbow of bright, happy hues, it's the perfect way to customize your carry.</span><span class=""c-message__edited_label"" dir=""ltr"" data-sk=""tooltip_parent""> </span></p>
<p><strong>Features &amp; Measurements:</strong></p>
<ul>
<li>Solid brass rivet and clasp</li>
<li>Beveled &amp; burnished for ultimate comfort</li>
<li>7.5 in, 8.5 in total with clasp</li>
</ul>",Glad & Young Studio,Apparel & Accessories > Handbag & Wallet Accessories,Keychain,Featured,False,Title,Olive Grove,,,,,,,,WRIST-OGRO,19.8446661875,shopify,continue,manual,22.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/WristletStrap_MarbledNeutral_OliveGrove.png?v=1772832120,1.0,,False,,,6552.0,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/WristletStrap_MarbledNeutral_OliveGrove.png?v=1772832120,oz,,6.68,draft,"[""leather-wristlet-strap"", ""vegetable-tanned"", ""brass-clasp"", ""everyday-carry""]"
wristlet-strap-olive-grove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/Dot_Lavender.png?v=1772832120,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""leather-wristlet-strap"", ""vegetable-tanned"", ""brass-clasp"", ""everyday-carry""]"
wristlet-strap-purple-haze,Wristlet Strap,"<p><meta charset=""utf-8""><span>Add a pop of color </span><i data-stringify-type=""italic"">and</i><span> convenience with our leather wristlet strap. </span></p>
<p><span>Made from durable vegetable-tanned leather and finished with a solid brass clasp, our wristlet strap is designed to clip onto your favorite wallet, keys, or pouch for when you're on-the-go. Available in a rainbow of bright, happy hues, it's the perfect way to customize your carry.</span><span class=""c-message__edited_label"" dir=""ltr"" data-sk=""tooltip_parent""> </span></p>
<p><strong>Features &amp; Measurements:</strong></p>
<ul>
<li>Solid brass rivet and clasp</li>
<li>Beveled &amp; burnished for ultimate comfort</li>
<li>7.5 in, 8.5 in total with clasp</li>
</ul>",Glad & Young Studio,Apparel & Accessories > Handbag & Wallet Accessories,Keychain,Featured,False,Title,Purple Haze,,,,,,,,WRIST-PHZ,19.8446661875,shopify,continue,manual,22.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/WristletStrap_MarbledNeutral_PurpleHaze.png?v=1772831959,1.0,,False,,,6552.0,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/WristletStrap_MarbledNeutral_PurpleHaze.png?v=1772831959,oz,,6.68,draft,"[""leather-wristlet-strap"", ""vegetable-tanned"", ""brass-clasp"", ""everyday-carry""]"
wristlet-strap-purple-haze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/Dot_Lavender.png?v=1772832120,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""leather-wristlet-strap"", ""vegetable-tanned"", ""brass-clasp"", ""everyday-carry""]"
travelers-journal-blue-lagoon,Traveler's Journal,"<p>The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Journal holds three <meta charset=""utf-8""><span data-mce-fragment=""1"">A5 (</span><span data-mce-fragment=""1"">8.25x5.5</span><span data-mce-fragment=""1"">in)</span> notebooks and is refillable, fun, and totally addicting.</p>
<p>Full Grain, hand marbled, vegetable tanned leather cover and elastic closure.<br></p>
<p><meta charset=""utf-8""><span>Want to make it personal? </span><span>Have it custom stamped! We love </span><span>the look of</span><span> a name or </span><span>initials</span><span> in the bottom right corner. You can add custom stamping to your order </span><a title=""Custom Stamping Product Page"" href=""https://gladandyoungstudio.com/products/gold-foil-custom-stamping?_pos=1&amp;_sid=d30201f3a&amp;_ss=r"" target=""_blank"" rel=""noopener"">HERE</a><span>, and </span><span>leave a note on the cart page with what you would like added. </span></p>",Glad & Young Studio,Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Journals,Accessories,"Accessories, Custom Stamp, Featured, Shop, vegetable tanned",False,Title,Blue Lagoon,,,,,,,,TJO-BLUL,371.3787529375,shopify,continue,manual,55.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_MarbledColorful_BlueLagoon_1.png?v=1724099996,1.0,,False,Refillable Traveler's Journal | Glad & Young Studio,"The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Notebook holds three 5x7in notebooks and is refillable, fun, and totally addicting.",961.0,,,,,,,,,,,True,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_MarbledColorful_BlueLagoon_1.png?v=1724099996,oz,,16.03,draft,"[""travelers-journal"", ""vegetable-tanned"", ""hand-marbled"", ""elastic-closure"", ""writing-accessory""]"
travelers-journal-blue-lagoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_MarbledColorful_BlueLagoon_3.png?v=1772830815,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""travelers-journal"", ""vegetable-tanned"", ""hand-marbled"", ""elastic-closure"", ""writing-accessory""]"
travelers-journal-blue-lagoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_MarbledColorful_BlueLagoon_2.png?v=1772830815,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""travelers-journal"", ""vegetable-tanned"", ""hand-marbled"", ""elastic-closure"", ""writing-accessory""]"
travelers-journal-cosmic-cake,Traveler's Journal,"<p>The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Journal holds three <meta charset=""utf-8""><span data-mce-fragment=""1"">A5 (</span><span data-mce-fragment=""1"">8.25x5.5</span><span data-mce-fragment=""1"">in)</span> notebooks and is refillable, fun, and totally addicting.</p>
<p>Full Grain, hand marbled, vegetable tanned leather cover and elastic closure.<br></p>
<p><meta charset=""utf-8""><span>Want to make it personal? </span><span>Have it custom stamped! We love </span><span>the look of</span><span> a name or </span><span>initials</span><span> in the bottom right corner. You can add custom stamping to your order </span><a title=""Custom Stamping Product Page"" href=""https://gladandyoungstudio.com/products/gold-foil-custom-stamping?_pos=1&amp;_sid=d30201f3a&amp;_ss=r"" target=""_blank"" rel=""noopener"">HERE</a><span>, and </span><span>leave a note on the cart page with what you would like added. </span></p>",Glad & Young Studio,Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Journals,Accessories,"Accessories, Custom Stamp, Featured, Shop, vegetable tanned",False,Title,Cosmic Cake,,,,,,,,TJO-COSM,371.3787529375,shopify,continue,manual,55.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_MarbledColorful_CosmicCake_1.png?v=1710293795,1.0,,False,Refillable Traveler's Journal | Glad & Young Studio,"The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Notebook holds three 5x7in notebooks and is refillable, fun, and totally addicting.",961.0,,,,,,,,,,,True,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_MarbledColorful_CosmicCake_1.png?v=1710293795,oz,,16.03,draft,"[""travelers-journal"", ""vegetable-tanned"", ""hand-marbled"", ""elastic-closure"", ""writing-accessory""]"
travelers-journal-cosmic-cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_MarbledColorful_CosmicCake_3.png?v=1710293795,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""travelers-journal"", ""vegetable-tanned"", ""hand-marbled"", ""elastic-closure"", ""writing-accessory""]"
travelers-journal-cosmic-cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_MarbledColorful_CosmicCake_2.png?v=1710293795,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""travelers-journal"", ""vegetable-tanned"", ""hand-marbled"", ""elastic-closure"", ""writing-accessory""]"
travelers-journal-golden-girl,Traveler's Journal,"<p>The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Journal holds three <meta charset=""utf-8""><span data-mce-fragment=""1"">A5 (</span><span data-mce-fragment=""1"">8.25x5.5</span><span data-mce-fragment=""1"">in)</span> notebooks and is refillable, fun, and totally addicting.</p>
<p>Full Grain, hand marbled, vegetable tanned leather cover and elastic closure.<br></p>
<p><meta charset=""utf-8""><span>Want to make it personal? </span><span>Have it custom stamped! We love </span><span>the look of</span><span> a name or </span><span>initials</span><span> in the bottom right corner. You can add custom stamping to your order </span><a title=""Custom Stamping Product Page"" href=""https://gladandyoungstudio.com/products/gold-foil-custom-stamping?_pos=1&amp;_sid=d30201f3a&amp;_ss=r"" target=""_blank"" rel=""noopener"">HERE</a><span>, and </span><span>leave a note on the cart page with what you would like added. </span></p>",Glad & Young Studio,Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Journals,Accessories,"Accessories, Custom Stamp, Featured, Shop, vegetable tanned",False,Title,Golden Girl,,,,,,,,TJO-GOGI,371.3787529375,shopify,continue,manual,55.0,,True,True,,,,,,,,,False,Refillable Traveler's Journal | Glad & Young Studio,"The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Notebook holds three 5x7in notebooks and is refillable, fun, and totally addicting.",961.0,,,,,,,,,,,,,,,,,,,,oz,,16.03,draft,"[""travelers-journal"", ""vegetable-tanned"", ""hand-marbled"", ""elastic-closure"", ""writing-accessory""]"
travelers-journal-olive-grove,Traveler's Journal,"<p>The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Journal holds three <meta charset=""utf-8""><span data-mce-fragment=""1"">A5 (</span><span data-mce-fragment=""1"">8.25x5.5</span><span data-mce-fragment=""1"">in)</span> notebooks and is refillable, fun, and totally addicting.</p>
<p>Full Grain, hand marbled, vegetable tanned leather cover and elastic closure.<br></p>
<p><meta charset=""utf-8""><span>Want to make it personal? </span><span>Have it custom stamped! We love </span><span>the look of</span><span> a name or </span><span>initials</span><span> in the bottom right corner. You can add custom stamping to your order </span><a title=""Custom Stamping Product Page"" href=""https://gladandyoungstudio.com/products/gold-foil-custom-stamping?_pos=1&amp;_sid=d30201f3a&amp;_ss=r"" target=""_blank"" rel=""noopener"">HERE</a><span>, and </span><span>leave a note on the cart page with what you would like added. </span></p>",Glad & Young Studio,Office Supplies > General Office Supplies > Paper Products > Notebooks & Notepads > Journals,Accessories,"Accessories, Custom Stamp, Featured, Shop, vegetable tanned",False,Title,Olive Grove,,,,,,,,TJO-OGRO,371.3787529375,shopify,continue,manual,55.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_MarbledNeutral_OliveGrove_1_1.png?v=1772829078,1.0,,False,Refillable Traveler's Journal | Glad & Young Studio,"The perfect companion if you are constantly making lists and keeping things organized. The Traveler's Notebook holds three 5x7in notebooks and is refillable, fun, and totally addicting.",961.0,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0309/2830/6316/files/TravelersJournal_MarbledNeutral_OliveGrove_1_1.png?v=1772829078,oz,,16.03,draft,"[""travelers-journal"", ""vegetable-tanned"", ""hand-marbled"", ""elastic-closure"", ""writing-accessory""]"
